,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer,transform,dataset,exp_name
58,73.54,93.94,0.04942637356587603,2.263737037212034,50.022,50.006,0.007058969696464441,5.172033697138052,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",26,219,2,"noise,0.2","cifar10,",noise/0.2
59,76.24,93.94,0.04433250573428371,1.942202220989179,49.728,49.662,0.007107705250620613,5.1706918700576745,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",55,239,3,"noise,0.2","cifar10,",noise/0.2
60,87.38,93.94,0.016770798771913294,0.9072461711077751,49.93,49.558,0.003720099960341859,5.28155451052634,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",10,26,0,"noise,0.2","cifar10,",noise/0.2
61,86.9,93.94,0.01686342868105143,0.9855751723428315,50.14,50.046,0.0037126475069767144,5.261139630661596,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",23,56,1,"noise,0.2","cifar10,",noise/0.2
62,86.43,93.94,0.018298976253010805,1.0744930635901946,49.932,50.144,0.003730845950839236,5.255175451488446,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",35,219,2,"noise,0.2","cifar10,",noise/0.2
63,89.03,93.94,0.01894894185699994,0.7891927566143531,50.238,50.122,0.005053007704875124,5.294448722049099,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",46,239,3,"noise,0.2","cifar10,",noise/0.2
64,87.55,93.94,0.01645937481824356,0.8890038717396652,50.07,49.882,0.0036835761459739617,5.2822300363379675,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",10,26,0,"noise,0.2","cifar10,",noise/0.2
65,87.5,93.94,0.01722354161305518,0.9261104230639301,50.086,50.038,0.003738873528645319,5.2758806489617625,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",23,56,1,"noise,0.2","cifar10,",noise/0.2
66,86.0,93.94,0.018836383200898955,1.0755163955537579,49.932,49.936,0.003879965115052736,5.308629148146686,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",35,219,2,"noise,0.2","cifar10,",noise/0.2
67,88.29,93.94,0.026487258416187914,0.8236691632980033,49.764,49.89,0.008399049256025526,5.332063182235679,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",46,239,3,"noise,0.2","cifar10,",noise/0.2
