,Unnamed: 0,distillation,epoch,epochs,lambda,last_layer,layer,lr,pre,resume,student,student_layer,teacher,teacher_layer,test_acc,test_batch_size,test_eval,test_loss,test_teacher/acc,train_acc,train_batch_size,train_eval,train_loss,train_teacher/acc
3,3,PKT,97,100,1.0,KD,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.69,100,0.44670670479536057,0.002633350371615961,90.68,97.25200000000001,128,0.08940529157324216,0.0012766684539785222,98.234
4,4,nst_linear,90,100,1.0,KD,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.42,64,0.4666512656933183,0.0048914524047356705,90.68,96.904,64,0.10336693642599046,0.0028565366209968163,98.25
5,5,nst_linear,99,100,1.0,KD,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,90.0,64,0.5449036744179999,0.009014511044926135,90.68,94.56200000000001,64,0.1993583342217652,0.006605168322787222,98.322
6,6,nst_linear,83,100,1.0,KD,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.29,64,0.4401171478164044,0.002905454778388309,90.68,97.072,64,0.0968306888242626,0.001421885434067701,98.234
7,7,nst_linear,96,100,1.0,KD,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,88.85,64,0.6305951391625556,0.033996732763139303,90.68,94.72,64,0.19831069523844955,0.023487344886774144,98.266
8,8,hint,76,100,1.0,KD,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,89.72,100,0.5471207973361015,56.20999706268311,90.68,97.348,128,0.08596940523446978,52.95156081802095,98.11200000000001
9,9,hint,97,100,1.0,KD,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,89.61,100,0.5941560496389866,865.1066143798828,90.68,94.77600000000001,128,0.19602067470359985,759.9881495014786,98.24
10,10,hint,97,100,1.0,KD,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.53,100,0.4377293229103089,0.003122767556924373,90.68,97.126,128,0.09561060463576138,0.0015127703955675692,98.25399999999999
11,11,hint,89,100,1.0,KD,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.24,100,0.4756131167709827,11.828235874176025,90.68,97.21,128,0.09012430002126852,13.938646445798753,98.212
12,12,nst_poly,88,100,1.0,KD,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.01,64,0.4779896223146445,0.008389234225485166,90.68,96.368,64,0.1281354122216363,0.005398842992018099,98.32799999999999
13,13,nst_poly,89,100,1.0,KD,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,88.8,64,0.6397864520549774,0.10223907872939564,90.68,94.788,64,0.19151596365082066,0.09165701263434137,98.204
14,14,nst_poly,87,100,1.0,KD,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.72,64,0.4158979591195751,0.002705756247126657,90.68,97.346,64,0.08729268437075187,0.0013011258235886035,98.27600000000001
15,15,nst_poly,99,100,1.0,KD,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,78.65,100,1.2786121189594268,0.950856756567955,90.68,78.274,128,1.0850520082904251,0.5546135512154425,98.24799999999999
16,16,nst_gauss,97,100,1.0,KD,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,87.64,8,0.6889350873351097,0.004822965297289193,90.68,90.40799999999999,8,0.398241525797844,0.004335136330202222,98.302
17,17,nst_gauss,52,100,1.0,KD,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,24.2,8,3.303334914779663,-0.06960095664858817,90.68,22.524,8,3.223092852535248,-0.07809813184827566,98.26
18,18,nst_gauss,99,100,1.0,KD,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,79.61,8,1.1298602070629598,1.0,90.68,79.102,8,0.9944984980088472,1.0,98.184
19,19,nst_gauss,91,100,1.0,KD,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,20.38,8,3.4685053565979005,-0.07569480505287647,90.68,20.34,8,3.357026469964982,-0.0737576620849967,98.28
20,20,att_max,99,100,1.0,KD,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.75,100,0.4501795250922441,0.0028171534393914045,90.68,97.24,128,0.08862464872839125,0.0013644744032014953,98.27600000000001
21,21,att_max,95,100,1.0,KD,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.49,100,0.4425744743645191,0.0027510734426323324,90.68,97.008,128,0.10084027525923593,0.0013702142302749578,98.23
22,22,att_max,89,100,1.0,KD,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.16,100,0.4448149824887514,0.008754414222203195,90.68,96.566,128,0.11530794802090852,0.0060019021165435725,98.26
23,23,att_max,95,100,1.0,KD,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.52,100,0.4320664271712304,0.0026374212570954114,90.68,97.314,128,0.08799280854099242,0.0012888231061939676,98.25
24,24,hint,93,100,1e-05,KD,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.41,100,0.4376296432316304,0.002959875877713785,90.68,97.334,128,0.08710639183993077,0.0015901566001936755,98.292
25,25,hint,81,100,1e-05,KD,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.26,100,0.4672715821862221,0.012619441403076052,90.68,96.66799999999999,128,0.11566565874154153,0.010260319927959794,98.18799999999999
26,26,hint,96,100,1e-05,KD,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.24,100,0.4581121522188187,0.0035359734692610796,90.68,97.22200000000001,128,0.09104282872708483,0.002259270504505261,98.182
27,27,hint,85,100,1e-05,KD,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,90.99,100,0.4661293448507786,0.002797578898025677,90.68,97.126,128,0.09534639481197844,0.0013124400870683972,98.25399999999999
28,28,att_mean,98,100,1.0,KD,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.6,100,0.43613441579043866,0.002931218777084723,90.68,97.406,128,0.08324766101653848,0.0014540797862869776,98.21600000000001
